,INN_Name,BrandName,Phase,Applicants,LigID,pdbID,Type,RoF,MW,LogP,TPSA,HBA,HBD,NRB,Indications,Targets,Kinase_families,First_Approval,SC_Patent,Chirality,Synonyms,FDA_approved,Melting_points_C,Canonical_Smiles,InChIKey
64,Ralimetinib,,2.0,Eli Lilly,,,,1,420.2,5.6,85.4,5,2,3,,"['MAPK14', 'MAPK11']",['CMGC'],,,Achiral Molecule,"['LY-2228820', 'LY-22288220', 'Ralimetinib']",,,CC(C)(C)Cn1c2c(ccc(n2)c3c(nc([nH]3)C(C)(C)C)c4ccc(cc4)F)nc1N,XPPBBJCBDOEXDN-UHFFFAOYSA-N
65,Rebastinib,,2.0,Deciphera Pharmaceuticals,919,"['3qri', '3qrj', '5g6v', '6cnh', '6mwe']",2.0,2,553.2,6.0,123.1,7,3,6,,"['FLT3', 'TEK', 'KDR', 'LYN', 'BCR', 'ABL1', 'NTRK1']","['Atypical', 'Tyr']",,,Achiral Molecule,"['DP-1919', 'DP-1919', 'DCC-2036', 'Rebastinib']",,,CC(C)(C)c1cc(n(n1)c2ccc3c(c2)cccn3)NC(=O)Nc4ccc(cc4F)Oc5ccnc(c5)C(=O)NC,WVXNSAVVKYZVOE-UHFFFAOYSA-N
66,Refametinib,,2.0,Bayer,VRA,['3e8n'],,1,572.0,3.5,107.9,6,4,9,,['MAP2K1'],['STE'],,,Single Stereoisomer,"['BAY-86-9766', 'Refametinib', 'RDEA-119']",,,COc1cc(c(c(c1NS(=O)(=O)C2(CC2)C[C@@H](CO)O)Nc3ccc(cc3F)I)F)F,RDSACQWTXKSHJT-NSHDSACASA-N
67,Tepotinib,,2.0,Merck,3E8,['4r1v'],1.0,0,492.2,4.0,96.9,8,0,7,,['MET'],['Tyr'],,,Achiral Molecule,"['MSC-2156119', 'Tepotinib', 'MSC-2156119J', 'EMD-1214063']",,,CN1CCC(CC1)COc2cnc(nc2)c3cccc(c3)Cn4c(=O)ccc(n4)c5cccc(c5)C#N,AHYMHWXQRWRBKT-UHFFFAOYSA-N
68,Ripasudil,,2.0,Kowa Pharmaceutical,,,,0,323.1,1.7,62.3,4,1,2,,,,,,,['RIPASUDIL'],,,C[C@H]1CNCCCN1S(=O)(=O)c2cccc3c2c(cnc3)F,QSKQVZWVLOIIEV-NSHDSACASA-N
69,Rogaratinib,,2.0,Bayer,,,,0,466.2,2.6,107.0,9,2,6,Rogaratinib (BAY-1163877) is a FGFR-selective kinase inhibitor that is being investigated for antineoplastic activity.,,,,,,"['ROGARATINIB', 'BAY', '1163877']",,,Cc1cc2cc(sc2c(c1)OC)c3c(c(n4c3c(ncn4)N)CN5CCNC(=O)C5)COC,HNLRRJSKGXOYNO-UHFFFAOYSA-N
70,Seliciclib,,2.0,Cyclacel pharmaceuticals,RRC,"['1unl', '1ygk', '2a4l', '3ddq']",1.0,0,354.2,3.2,87.9,7,3,8,,"['CDK2', 'CDK7', 'CDK9']",['CMGC'],,,Single Stereoisomer,"['Seliciclib', 'CYC-202', 'AL-39256']",,,CC[C@H](CO)Nc1nc(NCc2ccccc2)c3ncn(C(C)C)c3n1,BTIHMVBBUGXLCJ-OAHLLOKOSA-N
71,Tarloxotinib,,2.0,Threshold Pharmaceuticals,,,,1,679.0,1.6,140.8,9,2,9,,['EGFR'],['Tyr'],,,,[],,,Cn1cnc(c1C[N+](C)(C)C/C=C/C(=O)Nc2cc3c(cn2)ncnc3Nc4ccc(c(c4)Br)Cl)[N+](=O)[O-].[Br-],WAKIMVYUBWMMHJ-FXRZFVDSSA-N
72,Tandutinib,,2.0,Takeda,,,,2,562.3,5.0,92.3,8,1,10,Investigated for use/treatment in leukemia (myeloid).,"['FLT3', 'PDGFD']","['(*)', 'Tyr']",,,Achiral Molecule,"['Tandutinib', 'MLN-0518', 'CT-53518', 'MLN-518']",,,CC(C)Oc1ccc(cc1)NC(=O)N2CCN(CC2)c3c4cc(c(cc4ncn3)OCCCN5CCCCC5)OC,UXXQOJXBIDBUAC-UHFFFAOYSA-N
73,Roniciclib,,2.0,Bayer,,,,0,430.1,4.0,108.2,7,3,7,,"['CDK1', 'CDK2', 'CDK4', 'CDK9']",['CMGC'],,,Single Stereoisomer,[],,,C[C@H]([C@@H](C)Oc1c(cnc(n1)Nc2ccc(cc2)[S@](=N)(=O)C3CC3)C(F)(F)F)O,UELYDGOOJPRWGF-SRQXXRKNSA-N
74,Sotrastaurin,,2.0,Novartis,LW4,['3iw4'],,0,438.2,2.4,94.2,6,2,3,,,,,,Achiral Molecule,"['AEB-071', 'NVP-AEB071', 'AEB071', 'Sotrastaurin']",,,CN1CCN(CC1)c2nc3ccccc3c(n2)C4=C(C(=O)NC4=O)c5c[nH]c6c5cccc6,OAVGBZOFDPFGPJ-UHFFFAOYSA-N
75,Sapanisertib,,2.0,Takeda,FE5,['6gvf'],,0,309.1,2.4,121.7,8,2,2,,['MTOR'],['Atypical'],,,Achiral Molecule,"['MLN-0128', 'Sapanisertib', 'TAK-228']",,,CC(C)n1c2c(c(n1)c3ccc4c(c3)nc(o4)N)c(ncn2)N,GYLDXIAOMVERTK-UHFFFAOYSA-N
76,Samotolisib,,2.0,Eli Lilly,,,,0,406.2,3.2,82.2,7,1,5,"LY3023414 is a dual inhibitor of phosphoinositide 3-kinase α (PI3Kα) and the serine/threonine kinase mTOR (mechanistic target of rapamycin ), with potential antineoplastic activity.",,,,,,"['LY-3023414', 'LY', '3023414', 'WHO', '10889', 'LY3023414']",,,C[C@@H](Cn1c2c3cc(ccc3ncc2n(c1=O)C)c4cc(cnc4)C(C)(C)O)OC,ACCFLVVUVBJNGT-AWEZNQCLSA-N
77,Milciclib,,2.0,Nerviano Medical Sciences,P48,"['2wih', '5vc6', '5vd1']",1.0,0,460.3,2.6,91.2,8,2,4,,"['CDK1', 'NTRK1']","['Tyr', 'CMGC']",,,Achiral Molecule,"['PHA-848125', 'Milciclib']",,,CC1(Cc2cnc(nc2-c3c1c(nn3C)C(=O)NC)Nc4ccc(cc4)N5CCN(CC5)C)C,RXZMYLDMFYNEIM-UHFFFAOYSA-N
78,Infigratinib,,2.0,Novartis,07J,['3tt0'],1.0,2,559.2,5.4,95.1,8,2,8,,"['FGFR1', 'FGFR2', 'FGFR3']",['Tyr'],,,,"['BGJ-398', 'NVP-BGJ398']",,,CCN1CCN(CC1)c2ccc(cc2)Nc3cc(ncn3)N(C)C(=O)Nc4c(c(cc(c4Cl)OC)OC)Cl,QADPYRIHXKWUSV-UHFFFAOYSA-N
79,Trilaciclib,,2.0,G1 Therapeutics,,,,0,446.3,2.7,91.2,8,2,3,,"['CDK4', 'CDK6']",['CMGC'],,,Achiral Molecule,"['G1T28', 'Trilaciclib']",,,CN1CCN(CC1)c2ccc(nc2)Nc3ncc4cc5n(c4n3)C6(CCCCC6)CNC5=O,PDGKHKMBHVFCMG-UHFFFAOYSA-N
80,Prexasertib,,2.0,Eli Lilly,,,,0,365.2,2.2,134.8,8,3,8,,"['CHEK1', 'CHEK2']",['CAMK'],,,Achiral Molecule,"['LY-2606368', 'Prexasertib']",,,COc1cccc(c1c2cc(n[nH]2)Nc3cnc(cn3)C#N)OCCCN,DOTGPNHGTYJDEP-UHFFFAOYSA-N
81,Poziotinib,,2.0,Hanmi Pharmaceutical,,,,1,490.1,5.4,76.6,6,1,6,,['EGFR'],['Tyr'],,,Achiral Molecule,"['NOV-120101', 'Poziotinib', 'HM-781-36B']",,,COc1cc2c(cc1OC3CCN(CC3)C(=O)C=C)c(ncn2)Nc4ccc(c(c4F)Cl)Cl,LPFWVDIFUFFKJU-UHFFFAOYSA-N
82,Golvatinib,,2.0,Eisai,GV0,['5ia5'],2.0,1,633.3,4.8,119.1,7,3,8,,"['MET', 'KDR']",['Tyr'],,,Achiral Molecule,"['E-7050', 'Golvatinib', 'E7050']",,,CN1CCN(CC1)C2CCN(CC2)C(=O)Nc3cc(ccn3)Oc4ccc(c(c4)F)NC(=O)C5(CC5)C(=O)Nc6ccc(cc6)F,UQRCJCNVNUFYDX-UHFFFAOYSA-N
83,Pimasertib,,2.0,Merck,,,,0,431.0,1.7,94.5,5,4,6,,"['MAP2K1', 'MAP2K2']",['STE'],,,Single Stereoisomer,"['MSC1936369A;', 'AS703026;', 'EMD', '1036239', 'AS-703026', 'MSC-1936369B', 'EMD', '1036239', 'Pimasertib']",,,c1cc(c(cc1I)F)Nc2cnccc2C(=O)NC[C@@H](CO)O,VIUAUNHCRHHYNE-JTQLQIEISA-N
84,Acalisib,,2.0,Gilead Sciences,,,,0,401.1,3.4,101.4,7,2,4,,['PIK3CA'],['Atypical'],,,Single Stereoisomer,['CAL-120'],,,C[C@@H](c1nc2ccc(cc2c(=O)n1c3ccccc3)F)Nc4c5c(nc[nH]5)ncn4,DOCINCLJNAXZQF-LBPRGKRZSA-N
85,Sapitinib,,2.0,Astrazeneca,,,,0,473.2,3.8,88.6,7,2,7,,"['EGFR', 'ERBB2', 'ERBB4', 'ERBB3']",['Tyr'],,,Achiral Molecule,"['Sapitinib', 'AZD-8931']",,,CNC(=O)CN1CCC(CC1)Oc2cc3c(cc2OC)ncnc3Nc4cccc(c4F)Cl,DFJSJLGUIXFDJP-UHFFFAOYSA-N
86,Tozasertib,,2.0,Merck,VX6,"['2f4j', '2xyn', '3amb', '3e5a', '4af3', '4b8m', '4jbq', '4zog', '5wnm', '6brj', '6gr9']",1.0,0,464.2,3.5,102.1,8,3,7,,"['AURKA', 'AURKB', 'AURKC']",['Other'],,,Achiral Molecule,"['VX-680', 'MK-0457', 'Tozasertib', 'VX-68', 'MK-045']",,,Cc1cc(n[nH]1)Nc2cc(nc(n2)Sc3ccc(cc3)NC(=O)C4CC4)N5CCN(CC5)C,GCIKSSRWRFVXBI-UHFFFAOYSA-N
87,Silmitasertib,,2.0,Senhwa Biosciences,3NG,"['3nga', '3pe1', '5o11', '6fyl', '6fyp', '6fyv', '6hmb', '6isj', '6k3l', '6khd', '6khe', '6khf', '6p5s']",1.0,0,349.1,4.9,75.1,4,2,3,,"['CSNK2A1', 'CSNK2A2']",['Other'],,,Achiral Molecule,"['Silmitasertib', 'CX-4945']",,,c1cc(cc(c1)Cl)Nc2c3ccncc3c4ccc(cc4n2)C(=O)O,MUOKSQABCJCOPU-UHFFFAOYSA-N
88,Tanzisertib,,2.0,Celgene,KBI,['3tti'],1.0,0,448.2,3.7,97.1,8,3,5,,['MAPK8'],['CMGC'],,,Single Stereoisomer,"['Tanzisertib', 'JNK-930', 'CC-930']",,,c1c(c(c(cc1F)F)Nc2n(c3nc(ncc3n2)N[C@H]4CC[C@@H](CC4)O)[C@@H]5COCC5)F,IBGLGMOPHJQDJB-IHRRRGAJSA-N
89,Voxtalisib,,2.0,Sanofi,,,,0,270.1,1.1,102.5,6,2,2,,"['PIK3CA', 'MTOR']",['Atypical'],,,Achiral Molecule,"['SAR-245409', 'Voxtalisib', 'XL-765']",,,CCn1c2c(cc(c1=O)c3ccn[nH]3)c(nc(n2)N)C,RGHYDLZMTYDBDT-UHFFFAOYSA-N
90,Acumapimod,,2.0,Mereo BioPharma,,,,0,385.2,2.8,113.8,6,2,5,,"['MAPK14', 'MAPK11', 'MAPK13', 'MAPK12']",['CMGC'],,,Single Stereoisomer,[],,,Cc1ccc(cc1n2c(c(cn2)C(=O)c3cccc(c3)C#N)N)C(=O)NC4CC4,VGUSQKZDZHAAEE-UHFFFAOYSA-N
91,Danusertib,,2.0,Nerviano Medical Sciences,627,"['2j50', '2v7a', '4qo9', '5i9z']",1.0,0,474.2,2.6,93.8,6,2,6,,"['AURKA', 'AURKB', 'AURKC']",['Other'],,,Single Stereoisomer,"['Danusertib', 'PHA-739358']",,,CN1CCN(CC1)c2ccc(cc2)C(=O)Nc3c4c([nH]n3)CN(C4)C(=O)[C@@H](c5ccccc5)OC,XKFTZKGMDDZMJI-HSZRJFAPSA-N
92,Verosudil,,2.0,Aerie Pharmaceutical,,,,0,327.1,2.8,65.2,4,2,4,,,,,,Racemic Mixture,"['Verosudil', 'AR-12286']",,,CN(C)C(c1ccsc1)C(=O)Nc2ccc3c(c2)cc[nH]c3=O,VDYRZXYYQMMFJW-UHFFFAOYSA-N
93,Solcitinib,,2.0,GlaxoSmithKline,,,,0,389.2,3.2,79.6,5,1,4,,['JAK1'],['Tyr'],,,Achiral Molecule,"['GLPG-0788', 'GSK2586184A', 'Solcitinib', 'GSK2586184', 'G-154578', 'GLPG-0778']",,,CC1(CN(C1)C(=O)c2ccc(cc2)c3cccc4n3nc(n4)NC(=O)C5CC5)C,MPYACSQFXVMWNO-UHFFFAOYSA-N
94,Talmapimod,,2.0,Scios inc,469,"['3hub', '3zsh']",1.0,1,512.2,4.0,65.9,5,0,5,Investigated for use/treatment in pain (acute or chronic) and rheumatoid arthritis.,['MAPK14'],['CMGC'],,,Single Stereoisomer,"['Talmapimod', 'SCIO-469']",,,C[C@@H]1CN([C@H](CN1C(=O)c2cc3c(cc2Cl)n(cc3C(=O)C(=O)N(C)C)C)C)Cc4ccc(cc4)F,ZMELOYOKMZBMRB-DLBZAZTESA-N
95,Tesevatinib,,2.0,Kadmon Corporation,,,,1,490.1,5.8,59.5,6,1,6,,"['EGFR', 'ERBB2', 'KDR', 'FLT4', 'EPHB4']",['Tyr'],,,Racemic Mixture,"['Tesevatinib', 'XL-647', 'KD-020', 'KD-019']",,,CN1C[C@H]2C[C@H](C[C@H]2C1)COc3cc4c(cc3OC)c(ncn4)Nc5ccc(c(c5F)Cl)Cl,HVXKQKFEHMGHSL-QKDCVEJESA-N
96,Olmutinib,,2.0,Hanmi Pharmaceutical,,,,1,486.2,5.1,82.6,8,2,7,For use in treatment of metastatic T790M mutation positive non-small cell lung cancer,['EGFR'],['Tyr'],,,Achiral Molecule,"['BI', '1482694', 'Olmutinib', 'HM61713', 'HM-61713']",,,CN1CCN(CC1)c2ccc(cc2)Nc3nc4ccsc4c(n3)Oc5cccc(c5)NC(=O)C=C,FDMQDKQUTRLUBU-UHFFFAOYSA-N
97,Parsaclisib,,2.0,Incyte Corporation,,,,0,432.1,3.1,107.9,7,2,5,"Parsaclisib (INCB050465) is a PI3Kδ inhibitor that was developed by Incyte Corporation as an antineoplastic and immunomodulatory agent, as claim ed in their patent WO2014134426A1 [ 1 ]. The chemical structure is one of those claimed in patent WO2013033569A1, but it is not clear which example it is from a mixture of diastereoisomers 345-348 (although 347 and 348 had the highest inhibitory potency  vs . PI3Kδ and 347 was tested  in vivo  [ 2 ].",,,,,,['INCB050465'],,,CCOc1c(cc(c(c1[C@H]2CC(=O)NC2)F)Cl)[C@H](C)n3c4c(c(n3)C)c(ncn4)N,ZQPDJCIXJHUERQ-QWRGUYRKSA-N
98,Pelitinib,,2.0,Wyeth,93J,['5vcw'],1.0,1,467.2,5.1,90.3,6,2,8,,"['EGFR', 'ERBB2']",['Tyr'],,,Achiral Molecule,"['WAY-EKB-569', 'EKB-569', 'Pelitinib']",,,CCOc1cc2c(cc1NC(=O)/C=C/CN(C)C)c(c(cn2)C#N)Nc3ccc(c(c3)Cl)F,WVUNYSQLFKLYNI-AATRIKPKSA-N
99,Sonolisib,,2.0,Cascadian Therapeutics,,,,1,525.2,3.1,119.4,9,1,8,,"['PIK3CA', 'PIK3CB', 'PIK3CG']",['Atypical'],,,Single Stereoisomer,"['Sonolisib', 'PX-866']",,,CC(=O)O[C@@H]1C[C@]2([C@@H](CCC2=O)C3=C1[C@]4([C@H](OC(=O)/C(=C/N(CC=C)CC=C)/C4=C(C3=O)O)COC)C)C,QIUASFSNWYMDFS-NILGECQDSA-N
100,Decernotinib,,2.0,Vertex Pharmaceuticals,VJK,['4yti'],1.0,0,392.2,3.3,95.6,5,3,6,,['JAK3'],['Tyr'],,,Single Stereoisomer,"['VRT-831509', 'Adelatinib', 'VX-509', 'Decernotinib']",,,CC[C@](C)(C(=O)NCC(F)(F)F)Nc1ccnc(n1)c2c[nH]c3c2cccn3,ASUGUQWIHMTFJL-QGZVFWFLSA-N
101,Doramapimod,,2.0,Boehringer Ingelheim,B96,"['1kv2', '3fzs', '3npc', '4jvg', '4twn', '5n66', '6gtt']",2.0,2,527.3,6.0,80.7,6,2,7,,['MAPK14'],['CMGC'],,,Achiral Molecule,"['Doramapimod', 'BIRB-796']",,,Cc1ccc(cc1)n2c(cc(n2)C(C)(C)C)NC(=O)Nc3ccc(c4c3cccc4)OCCN5CCOCC5,MVCOAUNKQVWQHZ-UHFFFAOYSA-N
102,Tucatinib,,2.0,Array BioPharma,,,,1,480.2,5.1,110.9,10,2,5,,['ERBB2'],['Tyr'],,,Achiral Molecule,"['Tucatinib', 'ONT-380', 'ARRY-380']",,,Cc1cc(ccc1Oc2ccn3c(c2)ncn3)Nc4c5cc(ccc5ncn4)NC6=NC(CO6)(C)C,SDEAXTCZPQIFQM-UHFFFAOYSA-N
103,Tamatinib,,2.0,Rigel Pharmaceuticals,585,"['3fqs', '3piy']",1.0,0,470.2,3.6,128.8,10,3,7,,['SYK'],['Tyr'],,,,['R-406'],,,CC1(C(=O)Nc2c(ccc(n2)Nc3c(cnc(n3)Nc4cc(c(c(c4)OC)OC)OC)F)O1)C,NHHQJBCNYHBUSI-UHFFFAOYSA-N
104,Varlitinib,,2.5,Array Biopharma,,,,1,466.1,5.2,93.5,9,2,6,Investigated for use/treatment in cancer/tumors (unspecified).,"['EGFR', 'ERBB2']",['Tyr'],,,Single Stereoisomer,"['ARRY-543', 'ASLAN-001', 'Varlitinib', 'ARRY-334543']",,,C[C@@H]1COC(=N1)Nc2ccc3c(c2)c(ncn3)Nc4ccc(c(c4)Cl)OCc5nccs5,UWXSAYUXVSFDBQ-CYBMUJFWSA-N
105,Cerdulatinib,,2.5,Portola pharmaceuticals,,,,0,445.2,1.4,133.6,8,3,8,,"['JAK1', 'SYK']",['Tyr'],,,Single Stereoisomer,['PRT-062070'],,,CCS(=O)(=O)N1CCN(CC1)c2ccc(cc2)Nc3ncc(c(n3)NC4CC4)C(=O)N,BGLPECHZZQDNCD-UHFFFAOYSA-N
106,Flumatinib,,3.0,Jiangsu Hengrui Medicine,,,,2,562.2,5.0,99.2,8,2,7,,"['BCR', 'ABL1', 'PDGFRB', 'KIT']","['Atypical', 'Tyr']",,,Achiral Molecule,"['HHGV-678', 'Flumatinib']",,,Cc1c(cc(cn1)NC(=O)c2ccc(c(c2)C(F)(F)F)CN3CCN(CC3)C)Nc4nccc(n4)c5cccnc5,BJCJYEYYYGBROF-UHFFFAOYSA-N
107,Linifanib,,3.0,Abbott Laboratories,,,,0,375.1,4.9,95.8,3,4,3,,"['FLT3', 'CSF1R', 'KDR']",['Tyr'],,,Achiral Molecule,"['ABT-869', 'RG-3635', 'Linifanib', 'AL-39324']",,,Cc1ccc(c(c1)NC(=O)Nc2ccc(cc2)c3cccc4c3c(n[nH]4)N)F,MPVGZUGXCQEXTM-UHFFFAOYSA-N
108,Linsitinib,,3.0,Osi Pharmaceuticals,,,,0,421.2,4.8,89.3,6,2,3,,['IGF1R'],['Tyr'],,,Single Stereoisomer,"['Linsitinib', 'ASP-7487', 'OSI-906', 'OSI-906AA']",,,C[C@]1(C[C@@H](C1)c2n3c(c(ncc3)N)c(n2)c4cc5nc(ccc5cc4)c6ccccc6)O,PKCDDUHJAFVJJB-VLZXCDOPSA-N
109,Pacritinib,,3.0,Cell Therapeutics,6T3,['5lbz'],,0,472.2,5.0,68.7,7,1,4,,['JAK2'],['Tyr'],,,Achiral Molecule,"['ONX-0803', 'SB-1518', 'SB1518', 'Pacritinib']",,,c1cc2cc(c1)-c3ccnc(n3)Nc4ccc(c(c4)COC/C=C/COC2)OCCN5CCCC5,HWXVIOGONBBTBY-ONEGZZNKSA-N
110,Ipatasertib,,3.0,Hoffmann-La Roche,0RF,['4ekl'],1.0,0,457.2,3.1,81.6,6,2,6,,"['AKT1', 'AKT2', 'AKT3']",['AGC'],,,Single Stereoisomer,"['GDC-0068', 'Ipatasertib', 'RG-7440']",,,C[C@@H]1C[C@H](c2c1c(ncn2)N3CCN(CC3)C(=O)[C@H](CNC(C)C)c4ccc(cc4)Cl)O,GRZXWCHAXNAUHY-NSISKUIASA-N
111,Filgotinib,,3.0,Galapagos,2HB,"['4p7e', '5ut5']",1.0,0,425.2,2.0,96.7,7,1,5,,['JAK1'],['Tyr'],,,Achiral Molecule,"['G-146034', 'GLPG-0634', 'Filgotinib']",,,c1cc(n2c(c1)nc(n2)NC(=O)C3CC3)c4ccc(cc4)CN5CCS(=O)(=O)CC5,RIJLVEAXPNLDTC-UHFFFAOYSA-N
112,Losmapimod,,3.0,GlaxoSmithKline,,,,0,383.2,3.9,71.1,3,2,5,,"['MAPK14', 'MAPK11', 'MAPK13', 'MAPK12']",['CMGC'],,,Achiral Molecule,"['GSKAHAB', 'GW856553', 'GW856553X', 'Losmapimod']",,,Cc1c(cc(cc1F)C(=O)NC2CC2)c3ccc(cn3)C(=O)NCC(C)(C)C,KKYABQBFGDZVNQ-UHFFFAOYSA-N
113,Abivertinib,,3.0,ACEA Biosciences,,,,0,487.2,4.5,98.4,7,3,7,"AC0010 is an orally active, irreversible EGFR inhibitor that selectively targets mutated EGFRs, and was designed to overcome T790M-induced resistance  in tumours [ 2 ]. It may also inhibit BTK, thus offering extended clinical utility [ 3 ]. We show the structure for the free base form of the compound.",,,,,,"['AC0010', 'Avitinib']",,,CN1CCN(CC1)c2ccc(cc2F)Nc3nc4c(cc[nH]4)c(n3)Oc5cccc(c5)NC(=O)C=C,UOFYSRZSLXWIQB-UHFFFAOYSA-N
114,Nazartinib,,3.0,Novartis,,,,0,494.2,4.3,83.4,6,1,6,,,,,,,['NAZARTINIB'],,,Cc1cc(ccn1)C(=O)Nc2nc3cccc(c3n2[C@@H]4CCCCN(C4)C(=O)/C=C/CN(C)C)Cl,IOMMMLWIABWRKL-WUTDNEBXSA-N
115,Naquotinib,,3.0,Astellas Pharma,8RC,['5y9t'],,1,562.3,2.3,120.2,9,2,9,,['EGFR'],['Tyr'],,,Single Stereoisomer,"['Naquotinib', 'ASP8273']",,,CCc1c(nc(c(n1)C(=O)N)Nc2ccc(cc2)N3CCC(CC3)N4CCN(CC4)C)O[C@@H]5CCN(C5)C(=O)C=C,QKDCLUARMDUUKN-XMMPIXPASA-N
116,Motesanib,,3.0,Amgen,706,['3efl'],2.0,0,373.2,4.0,78.9,5,3,5,,"['FLT1', 'KDR', 'FLT4', 'PDGFRA', 'PDGFRB', 'KIT', 'RET']",['Tyr'],,,Achiral Molecule,"['AMG-706', 'Motesanib']",,,CC1(CNc2c1ccc(c2)NC(=O)c3cccnc3NCc4ccncc4)C,RAHBGWKEPAQNFF-UHFFFAOYSA-N
117,Momelotinib,,3.0,Ym Biosciences Australia,C87,['6fdz'],,0,414.2,3.0,103.2,7,2,6,,"['JAK1', 'JAK2', 'JAK3']",['Tyr'],,,Achiral Molecule,"['CYT-11387', 'GS-0387', 'Momelotinib', 'CYT-387']",,,c1cc(ccc1c2ccnc(n2)Nc3ccc(cc3)N4CCOCC4)C(=O)NCC#N,ZVHNDZWQTBEVRY-UHFFFAOYSA-N
118,Orantinib,,3.0,Pfizer,SU6,"['4jlc', '5yvc']",1.0,0,310.1,3.1,82.2,2,3,4,,"['KDR', 'PDGFRB', 'FGFR1']",['Tyr'],,,Achiral Molecule,"['TSU-68', 'SU-6668', 'Orantinib']",,,Cc1c(c([nH]c1/C=C\2/c3ccccc3NC2=O)C)CCC(=O)O,NHFDRBXTEDBWCZ-ZROIWOOFSA-N
119,Alvocidib,,3.0,Sanofi,CPB,"['1c8k', '1e1y', '3blr', '3ebp', '4o71']",,0,401.1,3.3,94.1,6,3,2,"Investigated for use/treatment in esophageal cancer, leukemia (lymphoid), lung cancer, liver cancer, and lymphoma (unspecified).",,,,,Single Stereoisomer,"['L-86-8275', 'Flavopiridol', 'MDL-107826A', 'HL-275', 'HMR-1275', 'Alvocidib', 'NSC-649890', 'L-868275']",,,CN1CC[C@@H]([C@@H](C1)O)c2c(cc(c3c2oc(cc3=O)c4ccccc4Cl)O)O,BIIVYFLTOXDAOV-YVEFUNNKSA-N
120,Itacitinib,,3.0,Incyte Corporation,,,,1,553.2,3.6,119.6,8,1,5,,['JAK1'],['Tyr'],,,Achiral Molecule,"['INCB-039110', 'INCB-39110', 'Itacitinib', 'INCB039110']",,,c1cnc-2[nH]cnc(c12)c3cnn(c3)C4(CN(C4)C5CCN(CC5)C(=O)c6ccnc(c6F)C(F)(F)F)CC#N,KTBSXLIQKWEBRB-UHFFFAOYSA-N
121,Pyrotinib,,3.0,Hengrui Therapeutics,,,,2,582.2,6.5,112.4,8,2,10,,"['EGFR', 'ERBB2']",['Tyr'],,,Single Stereoisomer,['SHR1258'],,,CCOc1cc2c(cc1NC(=O)/C=C/[C@H]3CCCN3C)c(c(cn2)C#N)Nc4ccc(c(c4)Cl)OCc5ccccn5,SADXACCFNXBCFY-IYNHSRRRSA-N
122,Capmatinib,,3.0,Novartis,,,,0,412.1,3.4,85.1,6,1,4,,['MET'],['Tyr'],,,Achiral Molecule,"['INC280', 'Capmatinib', 'INCB-28060', 'NVP-INC280', 'NYP-INC280-NX', 'INC-280']",,,CNC(=O)c1ccc(cc1F)c2cnc3ncc(n3n2)Cc4ccc5c(c4)cccn5,LIOLIMKSCNQPLV-UHFFFAOYSA-N
123,Selumetinib,,3.0,Astrazeneca,3EW,['4u7z'],3.0,0,456.0,3.5,88.4,6,3,6,,"['MAP2K1', 'MAP2K2']",['STE'],,,Achiral Molecule,"['ARRY-142886', 'AZD-6244', 'ARRY-886', 'Selumetinib']",,,Cn1cnc2c1cc(c(c2F)Nc3ccc(cc3Cl)Br)C(=O)NOCCO,CYOHGALHFOKKQC-UHFFFAOYSA-N
124,Savolitinib,,3.0,Astrazeneca,V0L,"['5lbw', '6sde']",,0,345.1,1.9,91.6,9,0,3,,['MET'],['Tyr'],,,Single Stereoisomer,"['AZD-6094', 'Savolitinib', 'HMPL-504', 'AZD6094']",,,C[C@@H](c1ccc2nccn2c1)n3c4c(ncc(n4)c5cnn(c5)C)nn3,XYDNMOZJKOGZLS-NSHDSACASA-N
125,Saracatinib,,3.0,Astrazeneca,H8H,"['2h8h', '4qmx', '5vcx', '5vd3']",1.0,1,541.2,3.9,90.4,10,1,8,,"['SRC', 'ABL1']",['Tyr'],,,Achiral Molecule,"['AZD-0530', 'Saracatinib', 'AZ-10353926']",,,CN1CCN(CC1)CCOc2cc3c(c(c2)OC4CCOCC4)c(ncn3)Nc5c(ccc6c5OCO6)Cl,OUKYUETWWIPKQR-UHFFFAOYSA-N
126,Avapritinib,,3.0,Blueprint Medicines,,,,0,498.2,2.6,106.3,10,1,5,,,,,,,['BLU-285'],,,C[C@](c1ccc(cc1)F)(c2cnc(nc2)N3CCN(CC3)c4c5cc(cn5ncn4)c6cnn(c6)C)N,DWYRIWUZIJHQKQ-SANMLTNESA-N
127,Ruboxistaurin,['Arxxant'],3.0,Eli Lilly,LY4,"['1uu3', '2j2i']",,0,468.2,3.5,68.5,6,1,2,,,,,,Single Stereoisomer,"['Arxxant', 'LY-333531', 'Ruboxistaurin']",,,CN(C)C[C@@H]1CCn2cc(c3c2cccc3)C4=C(c5cn(c6c5cccc6)CCO1)C(=O)NC4=O,ZCBUQCWBWNUWSU-SFHVURJKSA-N
128,Semaxanib,,3.0,Sugen,X2M,['2x2m'],1.0,0,238.1,3.1,44.9,1,2,1,Investigated for use/treatment in colorectal cancer and lung cancer.,['KDR'],['Tyr'],,,Achiral Molecule,"['SU-5416', 'Semaxinib', 'Semaxanib']",,,Cc1cc([nH]c1/C=C\2/c3ccccc3NC2=O)C,WUWDLXZGHZSWQZ-WQLSENKSSA-N
